Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
DOE,Facebook,http://www.facebook.com/fundforpublicschools,8/8/2011 0:00,"8,075"
DPR,Facebook,http://www.facebook.com/nycparks,8/8/2011 0:00,"9,400"
OEM,Facebook,http://www.facebook.com/nycemergencymanagement,8/8/2011 0:00,"4,544"
DOE,Facebook,http://www.facebook.com/NYCschools,8/8/2011 0:00,"15,559"
DOH,Facebook,http://www.facebook.com/NYCcondom,8/8/2011 0:00,"17,264"
NYC & Co,Facebook,http://www.facebook.com/nycgo,8/8/2011 0:00,"19,684"
FDNY,Facebook,http://www.facebook.com/FDNYhome,8/8/2011 0:00,"45,712"
CCRB,Facebook,https://www.facebook.com/home.php#!/pages/NYC-Civilian-Complaint-Review-Board/152765208087880,8/8/2011 0:00,
Commission on Human Rights,Facebook,http://www.facebook.com/NYCCommissionOnHumanRights,8/8/2011 0:00,
DOB,Facebook,http://www.facebook.com/NYCBuildings,8/8/2011 0:00,
DSNY,Facebook,http://www.facebook.com/pages/NYC-Recycle-More-Waste-Less/152173854860863,8/8/2011 0:00,
EDC,Foursquare,https://foursquare.com/user/3045331,8/8/2011 0:00,
HDP,Facebook,http://www.facebook.com/pages/NYC-HPD-POE/128962093860639,8/8/2011 0:00,
HPD/Commission on Human Rights,Facebook,http://www.facebook.com/FairHousingNyc,8/8/2011 0:00,
LPC,Facebook,http://www.facebook.com/pages/NYC-Landmarks-Preservation-Commission/133261836703216,8/8/2011 0:00,
Materials for the Arts,Facebook,https://www.facebook.com/mftanyc,8/8/2011 0:00,
MOAE,Facebook,http://www.facebook.com/pages/You-Can-Too/203525729692056,8/8/2011 0:00,
MOIA,Facebook,http://www.facebook.com/pages/WE-ARE-NEW-YORK/174438697072,8/8/2011 0:00,
MOME,Facebook,http://www.facebook.com/NYCMINY,8/8/2011 0:00,
NYC Gov,Facebook,http://www.facebook.com/nycgov,8/8/2011 0:00,
NYCCFB,Facebook,http://www.facebook.com/nycvotes,8/8/2011 0:00,
NYPD,Facebook,https://www.facebook.com/NYPD,8/8/2011 0:00,
DRIS,Facebook,http://www.facebook.com/NycDeptOfRecords,8/8/2011 0:00,
DRIS,Facebook,http://www.facebook.com/MayorEdKochNYCRecords,8/8/2011 0:00,
DRIS,Facebook,http://www.facebook.com/MayorJohnLindsayNYCRecords,8/8/2011 0:00,
DRIS,Facebook,http://www.facebook.com/MayorFiorelloLaGuardiaNYCRecords,8/8/2011 0:00,
LMEC,Flickr,http://www.facebook.com/pages/New-York-NY/Latin-Media-and-Entertainment-Week/122259604487271,8/8/2011 0:00,151
DEP,Flickr,http://www.flickr.com/photos/nycep,8/8/2011 0:00,
DOB,Flickr,http://www.flickr.com/photos/nyc_buildings/,8/8/2011 0:00,
DOE,Flickr,http://www.flickr.com/photos/nycschools,8/8/2011 0:00,
DOITT,Flickr,http://www.flickr.com/photos/nyc_doitt,8/8/2011 0:00,
DOT,Flickr,http://www.flickr.com/photos/nycstreets,8/8/2011 0:00,
DPR,Flickr,http://www.flickr.com/photos/nycparks/,8/8/2011 0:00,
DSNY,Flickr,http://flickr.com/nycrecyclemore,8/8/2011 0:00,
EDC,Flickr,http://www.flickr.com/nycedc,8/8/2011 0:00,
FDNY,Flickr,http://www.flickr.com/groups/fdny-ems,8/8/2011 0:00,
HHC,Flickr,http://www.flickr.com/hhcnyc,8/8/2011 0:00,
LMEC,Flickr,http://www.flickr.com/photos/nyclatinmedia/,8/8/2011 0:00,
LPC,Flickr,http://www.flickr.com/photos/nyclandmarks,8/8/2011 0:00,
Materials for the Arts,Flickr,http://www.flickr.com/photos/materialsforthearts,8/8/2011 0:00,
Mayor's Office,Flickr,http://www.flickr.com/photos/nycmayorsoffice/,8/8/2011 0:00,
NYC Digital,Flickr,http://www.flickr.com/photos/nycdigital/,8/8/2011 0:00,
NYCHA,Flickr,http://www.flickr.com/photos/nychapics,8/8/2011 0:00,
PlaNYC,Flickr,http://www.flickr.com/photos/planyc/,8/8/2011 0:00,
Prob,Flickr,http://www.flickr.com/photos/nycprobation/,8/8/2011 0:00,
SnowUpdate,Flickr,http://www.flickr.com/groups/1604085@N23/,8/8/2011 0:00,
HRA,Flickr,http://www.flickr.com/people/nychra/,8/8/2011 0:00,
DSNY,Flickr,http://www.flickr.com/photos/86722064@N03/,8/8/2011 0:00,
GreeNYC,Foursquare,http://foursquare.com/birdie_nyc,8/8/2011 0:00,53
DOH,Foursquare,https://foursquare.com/nychealthy,8/8/2011 0:00,
DOT,Foursquare,http://foursquare.com/user/7474166,8/8/2011 0:00,
DPR,Foursquare,https://foursquare.com/nycparks,8/8/2011 0:00,
OEM,Newsletter,,10/4/2011 0:00,
FDNY,Foursquare,https://foursquare.com/fdny,8/8/2011 0:00,
Materials for the Arts,Foursquare,https://foursquare.com/mftanyc,8/8/2011 0:00,
NYC Gov,Foursquare,http://foursquare.com/nycgov,8/8/2011 0:00,
NYC Gov,Foursquare (Badge Unlock),https://foursquare.com/nycgov,8/8/2011 0:00,
NYCHA,Foursquare,https://foursquare.com/nycha,8/8/2011 0:00,
Mayor's Office,Instagram,http://web.stagram.com/n/nycmayorsoffice,8/8/2011 0:00,
DOT,Instagram,http://web.stagram.com/n/nyc_dot,8/8/2011 0:00,
DOH,iPhone,http://itunes.apple.com/us/app/abceats/id502867547?mt=8,8/8/2011 0:00,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,8/8/2011 0:00,"16,879"
DOH,iPhone app,http://itunes.apple.com/app/nyc-condom-finder-by-nyc-health/id418902795,8/8/2011 0:00,"8,041"
DSNY,iPhone App,http://itunes.apple.com/us/app/nycrecycles/id445457149?ls=1&mt=8,8/8/2011 0:00,171
DSNY,iPhone App,http://itunes.apple.com/us/app/stuff-ex/id445438603?ls=1&mt=8,8/8/2011 0:00,142
DOT,iPhone app,You The Man,8/8/2011 0:00,"2,635"
Mayor's Office,iPhone App,http://itunes.apple.com/us/app/nyc-city-hall/id375398827?mt=8,8/8/2011 0:00,"3,186"
MOME,iPhone App,http://itunes.apple.com/us/app/nyc-media-app/id433177943?mt=8,8/8/2011 0:00,944
MOME,iPhone App,http://itunes.apple.com/us/app/miny-discount-vendors/id372448233?mt=8,8/8/2011 0:00,350
DOE,Linked-In,http://www.linkedin.com/groups?gid=1545057&home=,8/8/2011 0:00,92
DOE,Linked-In,http://www.linkedin.com/company/nyc-teaching-fellows,8/8/2011 0:00,901
DOE,Linked-In,http://www.linkedin.com/company/nyc-department-of-education,8/8/2011 0:00,"11,705"
ACS,Linked-In,http://www.linkedin.com/companies/260392/City+of+New+York%2C+Administration+for+Children%27s+Services?trk=ncsrch_hits&goback=%2Efcs_GLHD_city+of+new+york_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2,8/8/2011 0:00,
All,Linked-In,http://www.linkedin.com/company/2904?trk=tyah,8/8/2011 0:00,
Dept of Consumer Affairs,Linked-In,http://www.linkedin.com/company/831694?trk=tyah,8/8/2011 0:00,
DOF,Linked-In,http://www.linkedin.com/company/298308?trk=tyah,8/8/2011 0:00,
DOHMH,Linked-In,http://www.linkedin.com/company/245926?trk=tyah,8/8/2011 0:00,
SBS,Linked-In,http://www.linkedin.com/company/workforce1,8/8/2011 0:00,
SBS,Linked-In,http://www.linkedin.com/company/small-business-services,8/8/2011 0:00,
DOE,Newsletter,,8/8/2011 0:00,"187,180"
DOT,Newsletter,,8/8/2011 0:00,"72,614"
NYC Digital: external newsletter,Newsletter,,8/8/2011 0:00,
NYC Gov,Newsletter,0,8/8/2011 0:00,"543,533"
NYCHA,Newsletter,,8/8/2011 0:00,
OEM,Newsletter,,8/8/2011 0:00,
,nyc.gov,2800000,8/8/2011 0:00,
nycgov,Pinterest,http://pinterest.com/nycgov,8/8/2011 0:00,
DOH,Pinterest,http://pinterest.com/nychealth,8/8/2011 0:00,
FDNY,Pinterest,http://pinterest.com/fdnyhome/,8/8/2011 0:00,
DRIS,Pinterest,http://pinterest.com/recordsnyc,8/8/2011 0:00,
DOE,SMS,877877,8/8/2011 0:00,382
NYCHA,SMS,,8/8/2011 0:00,
OEM,SMS,,8/8/2011 0:00,"61,652"
NYC Digital,Tumblr,http://nycdigital.tumblr.com,8/8/2011 0:00,850
Change By Us,Tumblr,http://nycchangebyus.tumblr.com/,8/8/2011 0:00,
DOB,Tumblr,http://nycbuildings.tumblr.com,8/8/2011 0:00,
DOH,Tumblr,http://nychealth.tumblr.com/,8/8/2011 0:00,
DOH,Tumblr,http://mygooddognyc.tumblr.com/,8/8/2011 0:00,
DOT,Tumblr,http://thedailypothole.tumblr.com ,8/8/2011 0:00,293
EDC,Tumblr,http://nycedc.tumblr.com/,8/8/2011 0:00,819
HRA,Tumblr,http://nycdads.tumblr.com,8/8/2011 0:00,
OEM,Newsletter,,1/20/2012 0:00,
NYC & Co,Tumblr,nycgo.tumblr.com,8/8/2011 0:00,
NYC Digital,Tumblr,madeinny.tumblr.com,8/8/2011 0:00,
NYC Digital,Tumblr,http://nycopendata.tumblr.com,8/8/2011 0:00,
NYC Gov,Tumblr,nycgov.tumblr.com,8/8/2011 0:00,
OEM,Tumblr,http://nyccitizencorpscouncil.tumblr.com/,8/8/2011 0:00,
OMB,Tumblr,http://nycarra.tumblr.com,8/8/2011 0:00,
TLC,Tumblr,http://nyctlc.tumblr.com/,8/8/2011 0:00,
OEM,Tumblr,http://oempublicprivate.tumblr.com/,8/8/2011 0:00,
DOITT,Tumblr,http://nycdoitt.tumblr.com/,8/8/2011 0:00,
Young Mens Initiative,Tumblr,http://nycyoungmen.tumblr.com ,8/8/2011 0:00,
FDNY,Tumblr,http://fdny.tumblr.com/,8/8/2011 0:00,
SBS,Tumblr,http://nycheighborhoods.tumblr.com,8/8/2011 0:00,
NYCDCAS,Twitter,http://twitter.com/NYCDCAS,8/8/2011 0:00,1
SBS,Twitter,https://twitter.com/NYCWorkforce1,8/8/2011 0:00,23
City Store,Twitter,http://twitter.com/citystorenyc,8/8/2011 0:00,38
LPC,Twitter,https://twitter.com/NYCLPC,8/8/2011 0:00,27
DOE,Twitter,http://twitter.com/alumny,8/8/2011 0:00,87
OEM,Twitter,http://twitter.com/NYCOEM,8/8/2011 0:00,109
NYC & Co,Twitter,http://twitter.com/nycgoshop,8/8/2011 0:00,53
LMEC,Twitter,http://twitter.com/nyclmew,8/8/2011 0:00,78
DPR,Twitter,http://www.twitter.com/Pearl_Squirrel,8/8/2011 0:00,140
HRA,Twitter,http://twitter.com/nychra,8/8/2011 0:00,122
NYC Digital,Twitter,http://twitter.com/nycdigital,8/8/2011 0:00,87
energyNYC,Twitter,http://twitter.com/energy_nyc,8/8/2011 0:00,144
DFTA,Twitter,http://twitter.com/NYCaging,8/8/2011 0:00,123
DOE,Twitter,http://twitter.com/TheFundforPS,8/8/2011 0:00,212
MOPD,Twitter,http://twitter.com/nyc_mopd,8/8/2011 0:00,152
NYCCFB,Twitter,http://twitter.com/NYCCFB,8/8/2011 0:00,267
EDC,Twitter,http://twitter.com/AppSciNYC,8/8/2011 0:00,188
DOB: Cool Roofs,Twitter,http://twitter.com/nycCoolRoofs,8/8/2011 0:00,270
DOE,Twitter,http://twitter.com/nyctf,8/8/2011 0:00,380
DOT,Twitter,http://www.Twitter.com/YouTheManNYC,8/8/2011 0:00,440
City Charter,Twitter,http://twitter.com/CityCharterNYC,8/8/2011 0:00,468
DFTA,Twitter,http://www.twitter.com/timebanksnyc,8/8/2011 0:00,577
SBS,Twitter,http://www.twitter.com/NYCBusSolutions,8/8/2011 0:00,640
MOME,Twitter,http://www.twitter.com/madeinny,8/8/2011 0:00,804
GreeNYC,Twitter,http://www.twitter.com/Birdie_NYC,8/8/2011 0:00,817
DOI,Twitter,http://twitter.com/DOINews,8/8/2011 0:00,947
DCA,Twitter,http://twitter.com/nycdca,8/8/2011 0:00,906
DOE,Twitter,http://twitter.com/iteachnyc,8/8/2011 0:00,"1,151"
CAU,Twitter,www.twitter.com/mayorscau,8/8/2011 0:00,969
HHC,Twitter,http://twitter.com/HHCnyc,8/8/2011 0:00,"1,064"
MOIA,Twitter,https://twitter.com/NYCimmigrants,8/8/2011 0:00,"1,167"
SBS,Twitter,http://www.twitter.com/NYCBusinessExp,8/8/2011 0:00,"1,698"
DEP,Twitter,http://twitter.com/nycwater,8/8/2011 0:00,"1,497"
DOITT,Twitter,http://twitter.com/nycdoitt,8/8/2011 0:00,"1,651"
PlaNYC,Twitter,http://twitter.com/PlaNYC,8/8/2011 0:00,"1,650"
DYCD,Twitter,http://twitter.com/nycyouth,8/8/2011 0:00,"1,849"
NYCService,Twitter,http://twitter.com/nycservice,8/8/2011 0:00,"1,685"
TLC,Twitter,http://twitter.com/NYCTaxi,8/8/2011 0:00,"1,877"
DOB,Twitter,http://twitter.com/nyc_buildings,8/8/2011 0:00,"1,823"
NYCHA,Twitter,http://twitter.com/NYCHA,8/8/2011 0:00,"2,397"
MOME,Twitter,http://www.twitter.com/nyc_media,8/8/2011 0:00,"4,022"
EDC,Twitter,http://twitter.com/nycedc,8/8/2011 0:00,"4,321"
DOH,Twitter,http://twitter.com/nycHealthy,8/8/2011 0:00,"4,371"
NYC Digital,Twitter,http://twitter.com/nycgov,8/8/2011 0:00,"2,829"
311,Twitter,http://www.twitter.com/NYCASP,8/8/2011 0:00,"6,677"
DOT,Twitter,http://twitter.com/NYC_DOT,8/8/2011 0:00,"9,149"
FDNY,Twitter,http://www.twitter.com/FDNY,8/8/2011 0:00,"11,274"
DOE,Twitter,http://twitter.com/NYCSchools,8/8/2011 0:00,"14,877"
DPR,Twitter,http://twitter.com/NYCParks,8/8/2011 0:00,"14,873"
NYPD,Twitter,http://twitter.com/NYPDnews,8/8/2011 0:00,"14,861"
311,Twitter,http://www.twitter.com/311NYC,8/8/2011 0:00,"17,956"
OEM,Twitter,http://twitter.com/NotifyNYC,8/8/2011 0:00,"20,110"
NYC & Co,Twitter,http://twitter.com/nycgo,8/8/2011 0:00,"38,659"
Mayor's Office,Twitter,http://www.twitter.com/nycmayorsoffice,8/8/2011 0:00,"22,957"
Change by Us,Twitter,www.twitter.com/ChangebyUs_NYC,8/8/2011 0:00,
DHS,Twitter,www.twitter.com/nycdhs,8/8/2011 0:00,
DOF,Twitter,https://twitter.com/nycfinance,8/8/2011 0:00,
DOHMH,Twitter,https://twitter.com/DrFarleyDOHMH,8/8/2011 0:00,
DSNY,Twitter,www.twitter.com/nycrecycles,8/8/2011 0:00,
FDNY,Twitter,https://twitter.com/joinFDNY,8/8/2011 0:00,
Materials for the Arts,Twitter,https://twitter.com/mftanyc,8/8/2011 0:00,
MOAE,Twitter,http://twitter.com/youcantoonyc,8/8/2011 0:00,
NYC Digital,Twitter,https://twitter.com/nycgob,8/8/2011 0:00,
NYC Waterfront,Twitter,http://twitter.com/nycwaterfront,8/8/2011 0:00,
NYCCFB,Twitter,http://twitter.com/NYCVotes,8/8/2011 0:00,
NYCGLOBAL,Twitter,www.twitter.com/nycglobal,8/8/2011 0:00,
Prob,Twitter,www.twitter.com/nycprobation,8/8/2011 0:00,
Vets,Twitter,http://twitter.com/NYCVeterans,8/8/2011 0:00,
DRIS,Twitter,https://twitter.com/NYCRecords,8/8/2011 0:00,
YMI,Twitter,http://www.twitter.com/nycyoungmen,8/8/2011 0:00,
DOE,Vimeo,http://vimeo.com/nycschools,8/8/2011 0:00,
NYCSevereWeather,WordPress,http://nycsevereweather.wordpress.com/,8/8/2011 0:00,50
311,WordPress,http://311nyc.wordpress.com/,8/8/2011 0:00,100
DOITT,WordPress,http://nycitymap.wordpress.com/,8/8/2011 0:00,100
DOITT,WordPress,http://nycitt.wordpress.com/,8/8/2011 0:00,
HHS,WordPress,http://hsdatanyc.wordpress.com/,8/8/2011 0:00,
HHS,WordPress,http://hsdata-nyc.org,8/8/2011 0:00,
LMEC,WordPress,http://lmew.wordpress.com/,8/8/2011 0:00,10
Materials for the Arts,WordPress,http://mfta.wordpress.com/,8/8/2011 0:00,
MOIA,WordPress,http://ihwnyc.wordpress.com,8/8/2011 0:00,10
SBS,WordPress,http://nycworkforce1partners.wordpress.com/,8/8/2011 0:00,
SBS,WordPress,http://workforce1.org,8/8/2011 0:00,
SimpliCity,WordPress,http://nycsimplicity.wordpress.com/,8/8/2011 0:00,100
DOE,YouTube,http://www.youtube.com/thefundforps,8/8/2011 0:00,1
DOH,YouTube,http://www.youtube.com/user/NYCcondoms,8/8/2011 0:00,1
LMEC,YouTube,http://www.youtube.com/user/NYCLMEW,8/8/2011 0:00,1
Probation,YouTube,http://www.youtube.com/NYCProbation,8/8/2011 0:00,6
DOITT,YouTube,http://www.youtube.com/doittnews,8/8/2011 0:00,6
GreeNYC,YouTube,http://www.youtube.com/BirdieNYCity,8/8/2011 0:00,8
HRA,YouTube,http://www.youtube.com/user/HRANYC,8/8/2011 0:00,12
NYCHA,YouTube,http://www.youtube.com/NYCHAHousing,8/8/2011 0:00,6
HHC,YouTube,http://www.youtube.com/HHCnyc,8/8/2011 0:00,13
DOE,YouTube,http://www.youtube.com/nycschools,8/8/2011 0:00,41
DYCD,YouTube,http://www.youtube.com/dycdnyc,8/8/2011 0:00,33
OEM,YouTube,http://www.youtube.com/nycoem,8/8/2011 0:00,28
DOB,YouTube,http://www.youtube.com/NYCBUILDINGS,8/8/2011 0:00,60
EDC,YouTube,http://www.youtube.com/NYCEDC,8/8/2011 0:00,69
MOME,YouTube,http://www.youtube.com/nycmedia25,8/8/2011 0:00,82
DPR,YouTube,http://www.youtube.com/user/NYCParksDepartment,8/8/2011 0:00,163
DOT,YouTube,http://www.youtube.com/NYCDOT,8/8/2011 0:00,290
Mayor's Office,YouTube,http://www.youtube.com/mayorbloomberg,8/8/2011 0:00,398
NYPD,YouTube,http://www.youtube.com/nypd,8/8/2011 0:00,"2,646"
DOH,YouTube,http://www.youtube.com/NYCHealth,8/8/2011 0:00,0
FDNY,YouTube,http://www.youtube.com/user/yourFDNY,8/8/2011 0:00,0
Child Services,Youtube,http://www.youtube.com/user/childservices,8/8/2011 0:00,
DCA,YouTube,http://www.youtube.com/nycdca,8/8/2011 0:00,
DOC,YouTube,http://www.youtube.com/user/OFFICIALNYCDOC,8/8/2011 0:00,
DOH,Youtube,http://www.youtube.com/user/drinkingsugar,8/8/2011 0:00,
DSNY,YouTube,http://www.youtube.com/nycrecyclemore,8/8/2011 0:00,
Materials for the Arts,YouTube,http://www.youtube.com/user/MaterialsForTheArts,8/8/2011 0:00,
,nyc.gov,2800000,10/4/2011 0:00,
Mayor's Fund,Youtube,http://www.youtube.com/mayorsfundnyc,8/8/2011 0:00,
MOAE,YouTube,http://www.youtube.com/YouCanTooNYC,8/8/2011 0:00,
NYC Gov,YouTube,http://www.youtube.com/nycgov,8/8/2011 0:00,
NYC Water,Youtube,http://www.youtube.com/nycwater,8/8/2011 0:00,
Veteran's Affairs,Youtube,http://www.youtube.com/channel/UCi6IvOszIb3hHPMUsaNKyXA,8/8/2011 0:00,
DRIS,YouTube,http://www.youtube.com/nycdeptofrecords,8/8/2011 0:00,
TLC,Facebook,http://www.facebook.com/pages/NYC-Taxi-and-Limousine-Commission/101679939900978?v=wall,8/8/2011 0:00,417
nycgov,Google+,https://plus.google.com/u/0/b/104030911277642419611/104030911277642419611/posts/p/pub,8/8/2011 0:00,
TOTAL,TOTAL,TOTAL,8/8/2011 0:00,"1,365,840"
DOH,Android,Condom Finder,9/22/2011 0:00,
DOT,Android,You The Man,9/22/2011 0:00,
MOME,Android,MiNY Venor app,9/22/2011 0:00,
DOT,Broadcastr,,9/22/2011 0:00,
DPR,Broadcastr,http://beta.broadcastr.com/Echo.html?audioId=670026-4001,9/22/2011 0:00,
ENDHT,Facebook,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,9/22/2011 0:00,3
VAC,Facebook,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,9/22/2011 0:00,38
PlaNYC,Facebook,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,9/22/2011 0:00,49
DFTA,Facebook,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,9/22/2011 0:00,105
energyNYC,Facebook,http://www.facebook.com/EnergyNYC?sk=wall,9/22/2011 0:00,123
MOIA,Facebook,http://www.facebook.com/ihwnyc,9/22/2011 0:00,123
City Store,Facebook,http://www.facebook.com/citystorenyc,9/22/2011 0:00,144
OCDV,Facebook,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,9/22/2011 0:00,152
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,9/22/2011 0:00,202
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,9/22/2011 0:00,206
DOB: UrbanCanvas,Facebook,http://www.facebook.com/NYCurbancanvas,9/22/2011 0:00,209
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,9/22/2011 0:00,209
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,9/22/2011 0:00,210
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,9/22/2011 0:00,215
DFTA,Facebook,http://www.facebook.com/timebanksnyc,9/22/2011 0:00,234
